all_validation_checks_pass,folder,fps,frame_count_unchanged,frames,lower_body_pose_delta_bounded,motion_has_betas,motion_has_poses,motion_has_trans,motion_mocap_frame_rate,motion_mocap_framerate,post_beta_variation_max_abs,post_contact_max_speed,post_contact_mean_speed,post_contact_num_sliding,post_lower_pose_delta_max_abs,post_penetration0_max,post_penetration0_mean,post_root_rms_vertical_accel,post_upper_pose_delta_max_abs,post_vs_raw_contact_max_speed_reduction_pct,post_vs_raw_contact_mean_speed_reduction_pct,post_vs_raw_contact_num_sliding_reduction_pct,post_vs_raw_penetration0_max_reduction_pct,post_vs_raw_penetration0_mean_reduction_pct,post_vs_raw_root_jitter_reduction_pct,post_vs_raw_root_rms_vertical_accel_reduction_pct,post_vs_world_contact_max_speed_reduction_pct,post_vs_world_contact_mean_speed_reduction_pct,post_vs_world_contact_num_sliding_reduction_pct,post_vs_world_penetration0_max_reduction_pct,post_vs_world_penetration0_mean_reduction_pct,post_vs_world_root_rms_vertical_accel_reduction_pct,raw_contact_max_speed,raw_contact_mean_speed,raw_contact_num_sliding,raw_penetration0_max,raw_penetration0_mean,raw_root_rms_vertical_accel,reference_all_checks_pass,reference_contact_coverage,reference_contact_exists,reference_contact_shape,reference_contact_switch_rate,reference_coordinate_system,reference_fps,reference_manifest_exists,reference_motion_exists,reference_num_frames,reference_num_stance_anchors,reference_quality_success,reference_quality_tier,reference_source_coordinate_system,reference_stance_anchors_exists,reference_stance_coverage,reference_usable_for_training,reference_version,root_vertical_jitter_not_worse,sequence,sequence_group,smpl_contact_foot_sliding_reduced,smpl_foot_penetration_reduced,upper_body_pose_delta_small,validation_success,world_contact_max_speed,world_contact_mean_speed,world_contact_num_sliding,world_penetration0_max,world_penetration0_mean,world_root_rms_vertical_accel
True,/data3/yangfeiyang/WorkSpace/optimized_wham/output/forehand_clear/6月2日(1)-1,60.0,True,90,True,True,True,True,60.0,60.0,0.0,8.16729736,0.35296959,50,0.41354907,0.00593364,0.00027194,0.00074591,0.0,-150.62345062226976,16.71517540835083,78.16593886462883,99.34738861684528,99.96776361571746,-22.072204765645466,-22.072204765645466,-150.62345062226976,16.71517540835083,78.16593886462883,84.61895783099114,91.77126326873963,0.0,3.25879216,0.42381021,229,0.90921491,0.84358096,0.00061104,True,0.925,True,"[90, 4]",0.016853932584269662,amass_zup,60.0,True,True,90,6,True,B,wham_yup,True,0.8972222222222223,True,contact_reference_bundle_v1,True,6月2日(1)-1,june2_repeat,True,True,True,True,3.25879216,0.42381021,229,0.03857762,0.00330476,0.00074591
True,/data3/yangfeiyang/WorkSpace/optimized_wham/output/forehand_clear/6月2日(1)-10,60.0,True,114,True,True,True,True,60.0,60.0,0.0,8.57501125,0.28204158,86,0.42781872,0.00166756,2.07e-05,0.00050013,0.0,-201.07039848442446,25.67680463910748,68.38235294117646,99.81228755134595,99.99752298114078,7.275154346737852,7.275154346737852,-201.07039848442446,25.67680463910748,68.38235294117646,91.50966259823998,98.95750970724659,0.0,2.84817481,0.37947989,272,0.88835877,0.83568197,0.00053937,True,0.8837719298245614,True,"[114, 4]",0.01327433628318584,amass_zup,60.0,True,True,114,5,True,B,wham_yup,True,0.8859649122807017,True,contact_reference_bundle_v1,True,6月2日(1)-10,june2_repeat,True,True,True,True,2.84817481,0.37947989,272,0.01964068,0.00198563,0.00050013
True,/data3/yangfeiyang/WorkSpace/optimized_wham/output/forehand_clear/6月2日(1)-2,60.0,True,114,True,True,True,True,60.0,60.0,0.0,11.17865181,0.39161345,77,0.3907609,0.00742149,0.00035083,0.00073772,0.0,-249.8458600730766,9.099055414710879,76.01246105919003,99.18473218111222,99.95804244712741,-20.35565706827636,-20.35565706827636,-249.8458600730766,9.099055414710879,76.01246105919003,81.24351268298119,92.02715263242817,0.0,3.19530773,0.4308134,321,0.91031313,0.83615458,0.00061295,True,0.8903508771929824,True,"[114, 4]",0.017699115044247787,amass_zup,60.0,True,True,114,6,True,B,wham_yup,True,0.8728070175438597,True,contact_reference_bundle_v1,True,6月2日(1)-2,june2_repeat,True,True,True,True,3.19530773,0.4308134,321,0.03956759,0.00440031,0.00073772
True,/data3/yangfeiyang/WorkSpace/optimized_wham/output/forehand_clear/6月2日(1)-3,60.0,True,106,True,True,True,True,60.0,60.0,0.0,11.23613262,0.34030715,73,0.42336756,0.00592029,0.00026743,0.00062868,0.0,-279.89563873357366,12.77102285041031,71.59533073929961,99.34485672430685,99.96815374798402,-11.666074600355225,-11.666074600355225,-279.89563873357366,12.77102285041031,71.59533073929961,82.45979282237737,90.5505773606773,0.0,2.95768929,0.39013085,257,0.9036634,0.83975345,0.000563,True,0.8820754716981132,True,"[106, 4]",0.014285714285714285,amass_zup,60.0,True,True,106,6,True,B,wham_yup,True,0.8632075471698113,True,contact_reference_bundle_v1,True,6月2日(1)-3,june2_repeat,True,True,True,True,2.95768929,0.39013085,257,0.03375268,0.00283012,0.00062868
True,/data3/yangfeiyang/WorkSpace/optimized_wham/output/forehand_clear/6月2日(1)-4,60.0,True,105,True,True,True,True,60.0,60.0,0.0,10.27326107,0.27497429,51,0.4691506,0.00505513,0.00025981,0.00109836,0.0,-220.32985478544194,29.625642513976366,78.83817427385893,99.43426892699758,99.96867468249643,-64.5088817661684,-64.5088817661684,-220.32985478544194,29.625642513976366,78.83817427385893,84.77748752192603,92.62020814870363,0.0,3.20708823,0.3907308,241,0.89355707,0.82939303,0.00066766,True,0.9428571428571428,True,"[105, 4]",0.014423076923076924,amass_zup,60.0,True,True,105,6,True,B,wham_yup,True,0.9142857142857143,True,contact_reference_bundle_v1,True,6月2日(1)-4,june2_repeat,True,True,True,True,3.20708823,0.3907308,241,0.03320825,0.00352056,0.00109836
True,/data3/yangfeiyang/WorkSpace/optimized_wham/output/forehand_clear/6月2日(1)-5,60.0,True,98,True,True,True,True,60.0,60.0,0.0,8.78348732,0.3427881,55,0.43065262,0.00531214,0.0002982,0.00092628,0.0,-200.34576725913536,10.041123760785275,76.29310344827586,99.41212394893779,99.9645503604332,-89.57062748147844,-89.57062748147844,-200.34576725913536,10.041123760785275,76.29310344827586,86.18846887144409,91.1302795954789,0.0,2.9244585,0.38104978,232,0.90361565,0.84119332,0.00048862,True,0.9336734693877551,True,"[98, 4]",0.015463917525773196,amass_zup,60.0,True,True,98,6,True,B,wham_yup,True,0.9107142857142857,True,contact_reference_bundle_v1,True,6月2日(1)-5,june2_repeat,True,True,True,True,2.9244585,0.38104978,232,0.03846163,0.003362,0.00092628
True,/data3/yangfeiyang/WorkSpace/optimized_wham/output/forehand_clear/6月2日(1)-6,60.0,True,113,True,True,True,True,60.0,60.0,0.0,9.75229168,0.32671478,52,0.45247129,0.00415921,4.125e-05,0.00065602,0.0,-226.68758856303646,5.004078504776599,79.6078431372549,99.52644142318675,99.99503037986017,-8.413346333724453,-8.413346333724453,-226.68758856303646,5.004078504776599,79.6078431372549,80.52622880127878,97.7628574682597,0.0,2.98520422,0.34392506,255,0.87828839,0.83004332,0.00060511,True,0.9269911504424779,True,"[113, 4]",0.013392857142857142,amass_zup,60.0,True,True,113,6,True,B,wham_yup,True,0.9203539823008849,True,contact_reference_bundle_v1,True,6月2日(1)-6,june2_repeat,True,True,True,True,2.98520422,0.34392506,255,0.02135801,0.00184387,0.00065602
True,/data3/yangfeiyang/WorkSpace/optimized_wham/output/forehand_clear/6月2日(1)-7,60.0,True,104,True,True,True,True,60.0,60.0,0.0,9.16534615,0.38408738,74,0.41728655,0.00406873,2.162e-05,0.00069072,0.0,-155.8055479133104,0.5916067830689804,70.4,99.5418091996629,99.99740605728097,-14.501690869305753,-14.501690869305753,-155.8055479133104,0.5916067830689804,70.4,73.17653961650916,98.03101918891106,0.0,3.58293486,0.38637319,250,0.88799906,0.83348024,0.00060324,True,0.8365384615384616,True,"[104, 4]",0.014563106796116505,amass_zup,60.0,True,True,104,6,True,B,wham_yup,True,0.8389423076923077,True,contact_reference_bundle_v1,True,6月2日(1)-7,june2_repeat,True,True,True,True,3.58293486,0.38637319,250,0.01516855,0.00109803,0.00069072
True,/data3/yangfeiyang/WorkSpace/optimized_wham/output/forehand_clear/6月2日(1)-8,60.0,True,107,True,True,True,True,60.0,60.0,0.0,11.18776798,0.38209963,84,0.43577245,0.00583887,0.00010638,0.00059597,0.0,-271.97942873859955,2.154337712901899,63.47826086956522,99.35408675884327,99.98733329886646,-1.9623609923011256,-1.9623609923011256,-271.97942873859955,2.154337712901899,63.47826086956522,79.77107792171347,95.32520950426478,0.0,3.00763083,0.39051259,230,0.90397125,0.83983982,0.0005845,True,0.8481308411214953,True,"[107, 4]",0.014150943396226415,amass_zup,60.0,True,True,107,6,True,B,wham_yup,True,0.8457943925233645,True,contact_reference_bundle_v1,True,6月2日(1)-8,june2_repeat,True,True,True,True,3.00763083,0.39051259,230,0.02886397,0.00227561,0.00059597
True,/data3/yangfeiyang/WorkSpace/optimized_wham/output/forehand_clear/6月2日(1)-9,60.0,True,96,True,True,True,True,60.0,60.0,0.0,9.77272892,0.30151552,41,0.39469221,0.00376511,0.00013364,0.00055421,0.0,-207.74443973695094,22.391287824159605,81.93832599118943,99.58155391974776,99.98420554780014,-0.673932788374201,-0.673932788374201,-207.74443973695094,22.391287824159605,81.93832599118943,86.56795861411068,94.97593984962407,0.0,3.17559886,0.38850731,227,0.89978379,0.84611988,0.0005505,True,0.9401041666666666,True,"[96, 4]",0.015789473684210527,amass_zup,60.0,True,True,96,6,True,B,wham_yup,True,0.9375,True,contact_reference_bundle_v1,True,6月2日(1)-9,june2_repeat,True,True,True,True,3.17559886,0.38850731,227,0.02803081,0.00266,0.00055421
