beta_variation_max_abs,contact_max_speed,contact_mean_speed,contact_num_sliding,description,estimated_ground_y,folder,foot_source,fps,frames,ground_confidence,max_foot_y,min_foot_y,opensim_motion,penetration0_count,penetration0_max,penetration0_mean,penetration_estimated_count,penetration_estimated_max,penetration_estimated_mean,pkl,pose_delta_lower_max_abs,pose_delta_total_max_abs,pose_delta_upper_max_abs,retarget_dir,root_max_vertical_accel,root_rms_vertical_accel,sequence,sequence_group,stage_id,stage_order,track_id
0.89629537,3.25879216,0.42381021,229,Original WHAM signal,-0.85879177,/data3/yangfeiyang/WorkSpace/optimized_wham/output/forehand_clear/6月2日(1)-1,feet_refined,60.0,90,high,-0.71161383,-0.90921491,,360,0.90921491,0.84358096,175,0.05042315,0.0104341,/data3/yangfeiyang/WorkSpace/optimized_wham/output/forehand_clear/6月2日(1)-1/wham_output.pkl,0.0,0.0,0.0,,0.00208254,0.00061104,6月2日(1)-1,june2_repeat,00_raw_wham,0,merged
0.0,3.25879216,0.42381021,229,Fixed-beta canonical signal,-0.85879177,/data3/yangfeiyang/WorkSpace/optimized_wham/output/forehand_clear/6月2日(1)-1,feet_refined,60.0,90,high,-0.71161383,-0.90921491,,360,0.90921491,0.84358096,175,0.05042315,0.0104341,/data3/yangfeiyang/WorkSpace/optimized_wham/output/forehand_clear/6月2日(1)-1/canonical_wham_output.pkl,0.0,0.0,0.0,,0.00378799,0.00077706,6月2日(1)-1,june2_repeat,01_fixed_beta,1,merged
0.0,3.25879216,0.42381021,229,World-grounded signal,0.00793606,/data3/yangfeiyang/WorkSpace/optimized_wham/output/forehand_clear/6月2日(1)-1,feet_refined,60.0,90,high,0.16339272,-0.03857762,,83,0.03857762,0.00330476,155,0.04651368,0.00612595,/data3/yangfeiyang/WorkSpace/optimized_wham/output/forehand_clear/6月2日(1)-1/world_grounded/optimized_canonical_wham_output.pkl,0.0,0.0,0.0,,0.00411201,0.00074591,6月2日(1)-1,june2_repeat,02_world_grounded,2,merged
0.0,8.16729736,0.35296959,50,Post-processed signal: world-grounded plus lower-body/contact correction,0.00700372,/data3/yangfeiyang/WorkSpace/optimized_wham/output/forehand_clear/6月2日(1)-1,feet_refined,60.0,90,high,0.11207461,-0.00593364,,54,0.00593364,0.00027194,167,0.01293737,0.0019545,/data3/yangfeiyang/WorkSpace/optimized_wham/output/forehand_clear/6月2日(1)-1/lower_body_corrected/corrected_smpl.pkl,0.41354907,0.41354907,0.0,,0.00411201,0.00074591,6月2日(1)-1,june2_repeat,03_lower_body_corrected,3,merged
0.93551385,2.84817481,0.37947989,272,Original WHAM signal,-0.86073124,/data3/yangfeiyang/WorkSpace/optimized_wham/output/forehand_clear/6月2日(1)-10,feet_refined,60.0,114,high,-0.68939555,-0.88835877,,456,0.88835877,0.83568197,200,0.02762753,0.00581232,/data3/yangfeiyang/WorkSpace/optimized_wham/output/forehand_clear/6月2日(1)-10/wham_output.pkl,0.0,0.0,0.0,,0.00217806,0.00053937,6月2日(1)-10,june2_repeat,00_raw_wham,0,merged
0.0,2.84817481,0.37947989,272,Fixed-beta canonical signal,-0.86073124,/data3/yangfeiyang/WorkSpace/optimized_wham/output/forehand_clear/6月2日(1)-10,feet_refined,60.0,114,high,-0.68939555,-0.88835877,,456,0.88835877,0.83568197,200,0.02762753,0.00581232,/data3/yangfeiyang/WorkSpace/optimized_wham/output/forehand_clear/6月2日(1)-10/canonical_wham_output.pkl,0.0,0.0,0.0,,0.00387621,0.00068255,6月2日(1)-10,june2_repeat,01_fixed_beta,1,merged
0.0,2.84817481,0.37947989,272,World-grounded signal,0.00586247,/data3/yangfeiyang/WorkSpace/optimized_wham/output/forehand_clear/6月2日(1)-10,feet_refined,60.0,114,high,0.19205385,-0.01964068,,99,0.01964068,0.00198563,194,0.02550316,0.00401534,/data3/yangfeiyang/WorkSpace/optimized_wham/output/forehand_clear/6月2日(1)-10/world_grounded/optimized_canonical_wham_output.pkl,0.0,0.0,0.0,,0.00174946,0.00050013,6月2日(1)-10,june2_repeat,02_world_grounded,2,merged
0.0,8.57501125,0.28204158,86,Post-processed signal: world-grounded plus lower-body/contact correction,0.00769323,/data3/yangfeiyang/WorkSpace/optimized_wham/output/forehand_clear/6月2日(1)-10,feet_refined,60.0,114,high,0.15554935,-0.00166756,,14,0.00166756,2.07e-05,202,0.00936079,0.0013213,/data3/yangfeiyang/WorkSpace/optimized_wham/output/forehand_clear/6月2日(1)-10/lower_body_corrected/corrected_smpl.pkl,0.42781872,0.42781872,0.0,,0.00174946,0.00050013,6月2日(1)-10,june2_repeat,03_lower_body_corrected,3,merged
0.79972988,3.19530773,0.4308134,321,Original WHAM signal,-0.85436493,/data3/yangfeiyang/WorkSpace/optimized_wham/output/forehand_clear/6月2日(1)-2,feet_refined,60.0,114,high,-0.70076805,-0.91031313,,456,0.91031313,0.83615458,228,0.0559482,0.01101244,/data3/yangfeiyang/WorkSpace/optimized_wham/output/forehand_clear/6月2日(1)-2/wham_output.pkl,0.0,0.0,0.0,,0.00222887,0.00061295,6月2日(1)-2,june2_repeat,00_raw_wham,0,merged
0.0,3.19530773,0.4308134,321,Fixed-beta canonical signal,-0.85436493,/data3/yangfeiyang/WorkSpace/optimized_wham/output/forehand_clear/6月2日(1)-2,feet_refined,60.0,114,high,-0.70076805,-0.91031313,,456,0.91031313,0.83615458,228,0.0559482,0.01101244,/data3/yangfeiyang/WorkSpace/optimized_wham/output/forehand_clear/6月2日(1)-2/canonical_wham_output.pkl,0.0,0.0,0.0,,0.00516635,0.00081588,6月2日(1)-2,june2_repeat,01_fixed_beta,1,merged
0.0,3.19530773,0.4308134,321,World-grounded signal,0.00488049,/data3/yangfeiyang/WorkSpace/optimized_wham/output/forehand_clear/6月2日(1)-2,feet_refined,60.0,114,high,0.19660783,-0.03956759,,136,0.03956759,0.00440031,207,0.04444808,0.00634985,/data3/yangfeiyang/WorkSpace/optimized_wham/output/forehand_clear/6月2日(1)-2/world_grounded/optimized_canonical_wham_output.pkl,0.0,0.0,0.0,,0.00435013,0.00073772,6月2日(1)-2,june2_repeat,02_world_grounded,2,merged
0.0,11.17865181,0.39161345,77,Post-processed signal: world-grounded plus lower-body/contact correction,0.00668889,/data3/yangfeiyang/WorkSpace/optimized_wham/output/forehand_clear/6月2日(1)-2,feet_refined,60.0,114,high,0.15633941,-0.00742149,,74,0.00742149,0.00035083,213,0.01411039,0.00222763,/data3/yangfeiyang/WorkSpace/optimized_wham/output/forehand_clear/6月2日(1)-2/lower_body_corrected/corrected_smpl.pkl,0.3907609,0.3907609,0.0,,0.00435013,0.00073772,6月2日(1)-2,june2_repeat,03_lower_body_corrected,3,merged
0.95104957,2.95768929,0.39013085,257,Original WHAM signal,-0.85841095,/data3/yangfeiyang/WorkSpace/optimized_wham/output/forehand_clear/6月2日(1)-3,feet_refined,60.0,106,high,-0.70448029,-0.9036634,,424,0.9036634,0.83975345,205,0.04525244,0.00853136,/data3/yangfeiyang/WorkSpace/optimized_wham/output/forehand_clear/6月2日(1)-3/wham_output.pkl,0.0,0.0,0.0,,0.0024291,0.000563,6月2日(1)-3,june2_repeat,00_raw_wham,0,merged
0.0,2.95768929,0.39013085,257,Fixed-beta canonical signal,-0.85841095,/data3/yangfeiyang/WorkSpace/optimized_wham/output/forehand_clear/6月2日(1)-3,feet_refined,60.0,106,high,-0.70448029,-0.9036634,,424,0.9036634,0.83975345,205,0.04525244,0.00853136,/data3/yangfeiyang/WorkSpace/optimized_wham/output/forehand_clear/6月2日(1)-3/canonical_wham_output.pkl,0.0,0.0,0.0,,0.00425917,0.00077978,6月2日(1)-3,june2_repeat,01_fixed_beta,1,merged
0.0,2.95768929,0.39013085,257,World-grounded signal,0.00576645,/data3/yangfeiyang/WorkSpace/optimized_wham/output/forehand_clear/6月2日(1)-3,feet_refined,60.0,106,high,0.19050223,-0.03375268,,98,0.03375268,0.00283012,191,0.03951913,0.00487241,/data3/yangfeiyang/WorkSpace/optimized_wham/output/forehand_clear/6月2日(1)-3/world_grounded/optimized_canonical_wham_output.pkl,0.0,0.0,0.0,,0.00266337,0.00062868,6月2日(1)-3,june2_repeat,02_world_grounded,2,merged
